iter	Logloss
0	0.6920193397
1	0.6911518798
2	0.6900201329
3	0.68857805
4	0.6875621359
5	0.6863315926
6	0.6855791826
7	0.6843083545
8	0.6833269007
9	0.6822231021
10	0.6814747054
11	0.6807481509
12	0.6798057741
13	0.6788897103
14	0.6782079698
15	0.6777778863
16	0.6771865327
17	0.676416234
18	0.6755314356
19	0.6744433382
20	0.6735368864
21	0.6727816667
22	0.6722020893
23	0.6718269485
24	0.6713288451
25	0.6708109129
26	0.6699455399
27	0.6693363592
28	0.6688300267
29	0.6680963632
30	0.6671719509
31	0.6664064034
32	0.6659451446
33	0.6656047076
34	0.6652350302
35	0.6646241717
36	0.6642953422
37	0.6636719602
38	0.6631323071
39	0.6627040066
40	0.6620518315
41	0.6612213601
42	0.6607714614
43	0.6602569776
44	0.6598023307
45	0.6593704358
46	0.6588828588
47	0.6585016862
48	0.6578897602
49	0.6573301963
50	0.6568741548
51	0.6562433276
52	0.6556596076
53	0.6552722839
54	0.654756906
55	0.6544292202
56	0.6540084443
57	0.6536971726
58	0.6533105586
59	0.6529022197
60	0.6525791962
61	0.6523528743
62	0.6519913499
63	0.6516267969
64	0.6510691594
65	0.6505769722
66	0.6502400477
67	0.6499994721
68	0.6497544389
69	0.6495134614
70	0.6492907228
71	0.6490628166
72	0.6489586672
73	0.64852053
74	0.6482676251
75	0.6480751429
76	0.6473230044
77	0.6467899212
78	0.6464352212
79	0.6461194845
80	0.6456683715
81	0.6452870248
82	0.6447449612
83	0.6446171152
84	0.6443364859
85	0.6438301486
86	0.6436727124
87	0.6433225665
88	0.6430031313
89	0.6427113665
90	0.6422457048
91	0.6419275702
92	0.641748974
93	0.6413730547
94	0.640969924
95	0.6401661222
96	0.6398593151
97	0.6396058573
98	0.6393172821
99	0.6388971611
100	0.6385754803
101	0.6382225851
102	0.6379049189
103	0.6375654897
104	0.6374267454
105	0.6370228849
106	0.6365667013
107	0.6360353963
108	0.6357613357
109	0.635290613
110	0.6347214528
111	0.6345783883
112	0.6343443583
113	0.6338199886
114	0.633341771
115	0.6330765657
116	0.6326886511
117	0.6320508277
118	0.6317729069
119	0.6312978087
120	0.6308906991
121	0.6307229755
122	0.630408868
123	0.6303234842
124	0.6301836148
125	0.630035032
126	0.6295426504
127	0.6293773805
128	0.6289693892
129	0.6287160181
130	0.6282721523
131	0.6280555302
132	0.6277535971
133	0.6275395602
134	0.6272563372
135	0.62686929
136	0.6263959214
137	0.6258882455
138	0.6255136733
139	0.6253281488
140	0.6250421076
141	0.6249313958
142	0.6247243865
143	0.6244048643
144	0.624223627
145	0.6238586854
146	0.6235336589
147	0.6233956886
148	0.6231215064
149	0.6227138444
150	0.6223313523
151	0.6221591029
152	0.6220264575
153	0.6217368702
154	0.6214464187
155	0.6211111708
156	0.6210087196
157	0.6208820444
158	0.6207466845
159	0.6203955519
160	0.6200507181
161	0.6197344554
162	0.6191683931
163	0.618778996
164	0.6186534164
165	0.6185718695
166	0.6182246163
167	0.6179018946
168	0.6176880313
169	0.6173247154
170	0.6168135081
171	0.6166441668
172	0.6161293136
173	0.615766694
174	0.615410815
175	0.6153261868
176	0.615156674
177	0.6148835295
178	0.6145951787
179	0.6142961025
180	0.6137492539
181	0.6132923802
182	0.612936197
183	0.6126453732
184	0.6124337904
185	0.612145872
186	0.6116555174
187	0.6113253866
188	0.610950977
189	0.6107819747
190	0.610454489
191	0.609978763
192	0.6096307252
193	0.6093787654
194	0.6090115204
195	0.608866583
196	0.60867653
197	0.6082022377
198	0.6076818218
199	0.6074406761
200	0.6069350032
201	0.6067789972
202	0.6065263856
203	0.6062272818
204	0.6060811402
205	0.6058644888
206	0.6055294845
207	0.6051110497
208	0.6045720188
209	0.6042769441
210	0.6036934587
211	0.6034804299
212	0.6032137602
213	0.6028466585
214	0.6022974039
215	0.6020257736
216	0.6017760838
217	0.6014156692
218	0.6012174951
219	0.6009105222
220	0.6006370294
221	0.6002902958
222	0.5996502974
223	0.5993713008
224	0.5989220529
225	0.5985099151
226	0.5981448156
227	0.5979280412
228	0.597654871
229	0.5973604439
230	0.5971047639
231	0.5967823173
232	0.5963253441
233	0.5960024937
234	0.595727708
235	0.595508005
236	0.5950589306
237	0.5947616326
238	0.5945538423
239	0.5942953962
240	0.5939888299
241	0.5935399908
242	0.5932706327
243	0.5930659441
244	0.5925492529
245	0.5922844881
246	0.5919698404
247	0.5916379381
248	0.5911551724
249	0.5909528278
250	0.5907039821
251	0.5901521629
252	0.5897753656
253	0.5893417961
254	0.5890063112
255	0.588625245
256	0.5882784775
257	0.5878053663
258	0.587517805
259	0.5872428302
260	0.5868057855
261	0.5866170924
262	0.5862712264
263	0.5857536128
264	0.585507299
265	0.5853284493
266	0.585020489
267	0.5846666563
268	0.5842730278
269	0.5840816572
270	0.5835811243
271	0.5830681402
272	0.5828022267
273	0.5822912326
274	0.5819769137
275	0.5814470827
276	0.5810666752
277	0.5806634877
278	0.5804983503
279	0.5800241687
280	0.5795223098
281	0.5792860725
282	0.5787279672
283	0.5785781411
284	0.578317849
285	0.577624128
286	0.5770684571
287	0.5765294965
288	0.5762845138
289	0.5759751668
290	0.575680246
291	0.5752472784
292	0.5748430705
293	0.5744935423
294	0.5740438101
295	0.5736818709
296	0.5732732359
297	0.5730446697
298	0.5728702761
299	0.5725785394
300	0.5722007918
301	0.5714599636
302	0.571081713
303	0.5705166255
304	0.5698921638
305	0.5696566023
306	0.5692983391
307	0.5690440492
308	0.5687351297
309	0.5685755234
310	0.5681791241
311	0.5679071941
312	0.5677862108
313	0.5673684347
314	0.5671020963
315	0.5668864617
316	0.5664528395
317	0.5659866121
318	0.5654555668
319	0.5652281938
320	0.5649823628
321	0.5643933759
322	0.5639694551
323	0.5636027378
324	0.5631728086
325	0.56284385
326	0.5624877076
327	0.5619373478
328	0.5617702173
329	0.561463633
330	0.5609390989
331	0.5604807045
332	0.5602441534
333	0.5599932767
334	0.5593764342
335	0.55897959
336	0.5586139656
337	0.5583567619
338	0.5581406564
339	0.5578837418
340	0.5574194776
341	0.5569426146
342	0.5566685233
343	0.5564475861
344	0.5561587722
345	0.5559138161
346	0.5555225519
347	0.5552289038
348	0.5550102059
349	0.5547589587
350	0.5544448016
351	0.5542584744
352	0.5540323122
353	0.5537862499
354	0.5536496345
355	0.5534468201
356	0.5529014759
357	0.5524832932
358	0.5522005146
359	0.5518286691
360	0.5517029364
361	0.5511465331
362	0.5509037851
363	0.5505210289
364	0.5501298045
365	0.5498437201
366	0.5495256393
367	0.549115298
368	0.5489817008
369	0.5485142883
370	0.5481959829
371	0.5477413963
372	0.5471752281
373	0.5467355581
374	0.546226225
375	0.5457342278
376	0.5456180451
377	0.5453427123
378	0.5450592835
379	0.5444469626
380	0.5442081434
381	0.5439407709
382	0.5435828286
383	0.5432459018
384	0.5429108547
385	0.5426652891
386	0.5423092537
387	0.542044082
388	0.5418566191
389	0.5416721661
390	0.5412532414
391	0.540943916
392	0.540459288
393	0.5401411571
394	0.5397399251
395	0.5396375892
396	0.5393927961
397	0.539234284
398	0.5389257804
399	0.5385454204
400	0.5383719707
401	0.5381225756
402	0.5379966091
403	0.5378315362
404	0.5376461874
405	0.5375247141
406	0.5374329586
407	0.5372693466
408	0.5371075329
409	0.5369066006
410	0.5367436203
411	0.5366719152
412	0.5364751272
413	0.5360544752
414	0.5358956601
415	0.5357361124
416	0.5352984586
417	0.534967393
418	0.534765143
419	0.5344466548
420	0.5342496288
421	0.5338209473
422	0.5334084264
423	0.5330787257
424	0.5326668155
425	0.5322815743
426	0.5317552683
427	0.5315783043
428	0.5313194437
429	0.531027772
430	0.5307111027
431	0.5303114616
432	0.5300445467
433	0.5297939288
434	0.5292986624
435	0.5289462271
436	0.5285078787
437	0.5282665218
438	0.5279170182
439	0.5275162896
440	0.5273591846
441	0.5269773054
442	0.5267730048
443	0.5265914993
444	0.526339208
445	0.5260925605
446	0.5256904078
447	0.5254915783
448	0.5253357132
449	0.5250623322
450	0.5247754652
451	0.5245078309
452	0.5243517379
453	0.5241346872
454	0.5239633862
455	0.5236416829
456	0.5233199689
457	0.5230550717
458	0.5226612221
459	0.5222751151
460	0.5221288435
461	0.5219032912
462	0.5216146459
463	0.5212480031
464	0.5209976018
465	0.5207753226
466	0.5203780009
467	0.5199092445
468	0.5196215891
469	0.519234415
470	0.5190451685
471	0.5188339694
472	0.5186046699
473	0.5185070285
474	0.5184280569
475	0.5183522216
476	0.5181980033
477	0.51803416
478	0.5175537626
479	0.5172999166
480	0.5170651777
481	0.516787429
482	0.5166007918
483	0.5165077744
484	0.5162371452
485	0.5158102036
486	0.5156051044
487	0.515433103
488	0.515017295
489	0.5148127915
490	0.5143606505
491	0.5142519453
492	0.5140850548
493	0.5138894813
494	0.5136476703
495	0.5133409693
496	0.5131433796
497	0.5129329272
498	0.5126052561
499	0.5123383939
