Time,Close,Open,High,Low,Body,UpperWick,LowerWick,Range,C1,H1,L1,B1,C2,H2,L2,B2,C3,H3,L3,B3,C4,H4,L4,B4,C5,H5,L5,B5,EMA9,EMA21,EMA50,EMA200,FastSlope,SlopeAccel,TrendUp,TrendDown,DistEMA200,Mom,ADX,ATR,BBWidth,Vol,VolSMA,VolNorm,VolPressure,LocalHigh10,LocalLow10,DistLocalHigh10,DistLocalLow10,SweepUp,SweepDown,IsTradeBar,IsLong,IsShort,BarsSinceEntry
2026-02-16 09:31:00,6900.25,6899.25,6901.25,6898.75,1.0,1.0,0.5,2.5,6899.5,6901.75,6899.5,-2.0,6901.5,6902.5,6900.75,-0.75,6902.25,6903.0,6901.0,1.25,6901.0,6902.0,6900.5,-0.5,6902.0,6902.75,6900.75,-0.75,6901.99929550307,6904.35465958863,6906.10766942163,6907.7393294477,-1.58917227636266,0.296830968942231,0,1,-29.9573177907878,-8.75,31.6174143595207,2.29002978366454,13.0991411932227,556,357.15,1.55676886462271,1.55676886462271,6906.75,6898.75,-26,6,0,0,0,0,0,0
2026-02-16 09:32:00,6897.75,6900.25,6900.25,6897.5,-2.5,0.0,0.25,2.75,6900.25,6901.25,6898.75,1.0,6899.5,6901.75,6899.5,-2.0,6901.5,6902.5,6900.75,-0.75,6902.25,6903.0,6901.0,1.25,6901.0,6902.0,6900.5,-0.5,6901.14943640246,6903.75423598966,6905.7799176796,6907.63993313478,-2.02133782109013,-0.412535224846579,0,1,-39.5597325391391,-9.75,33.1456702640585,2.32288479911707,13.5723984615834,580,373.25,1.55391828533155,-1.55391828533155,6904.5,6897.5,-27,1,0,0,0,0,0,0
2026-02-16 09:33:00,6898.0,6897.75,6899.75,6897.5,0.25,1.75,0.25,2.25,6897.75,6900.25,6897.5,-2.5,6900.25,6901.25,6898.75,1.0,6899.5,6901.75,6899.5,-2.0,6901.5,6902.5,6900.75,-0.75,6902.25,6903.0,6901.0,1.25,6900.51954912197,6903.23112362696,6905.47482286864,6907.5440134021,-1.91707025687174,0.219971820122737,0,1,-38.1760536084003,-8.75,34.5647650325579,2.31767874203728,13.7487272138187,471,382.2,1.23233908948195,1.23233908948195,6904.5,6897.5,-26,2,0,0,0,0,0,0
2026-02-16 09:34:00,6894.5,6897.75,6898.0,6894.25,-3.25,0.25,0.25,3.75,6898.0,6899.75,6897.5,0.25,6897.75,6900.25,6897.5,-2.5,6900.25,6901.25,6898.75,1.0,6899.5,6901.75,6899.5,-2.0,6901.5,6902.5,6900.75,-0.75,6899.31563929757,6902.43738511542,6905.0444376581,6907.41422222397,-2.68365620549775,-0.574022543902174,0,1,-51.6568888958791,-11.75,36.6394447387554,2.41998740332033,15.2101939501117,584,398.85,1.4642096026075,-1.4642096026075,6904.5,6894.25,-40,1,0,0,0,0,0,0
2026-02-16 09:35:00,6896.25,6894.25,6897.0,6894.0,2.0,0.75,0.25,3.0,6894.5,6898.0,6894.25,-3.25,6898.0,6899.75,6897.5,0.25,6897.75,6900.25,6897.5,-2.5,6900.25,6901.25,6898.75,1.0,6899.5,6901.75,6899.5,-2.0,6898.70251143806,6901.87489555947,6904.69955774994,6907.30313543567,-2.44692496439893,0.590781964878261,0,1,-44.2125417426869,-10.5,38.6136057157256,2.46141687451173,15.7729990807075,624,409.3,1.52455411678475,1.52455411678475,6903.0,6894.0,-27,9,0,0,0,0,0,0
2026-02-16 09:36:00,6895.25,6896.0,6897.5,6894.25,-0.75,1.5,1.0,3.25,6896.25,6897.0,6894.0,2.0,6894.5,6898.0,6894.25,-3.25,6898.0,6899.75,6897.5,0.25,6897.75,6900.25,6897.5,-2.5,6900.25,6901.25,6898.75,1.0,6898.01200915045,6901.27263232679,6904.32898685779,6907.18320373979,-2.50753997151969,-0.0773744280968458,0,1,-47.7328149591776,-9.25,40.0008338522554,2.51774424061804,16.3776524569312,493,419.95,1.17394927967615,-1.17394927967615,6903.0,6894.0,-31,5,0,0,0,0,0,0
2026-02-16 09:37:00,6894.75,6895.25,6895.5,6894.0,-0.5,0.25,0.75,1.5,6895.25,6897.5,6894.25,-0.75,6896.25,6897.0,6894.0,2.0,6894.5,6898.0,6894.25,-3.25,6898.0,6899.75,6897.5,0.25,6897.75,6900.25,6897.5,-2.5,6897.35960732036,6900.67966575163,6903.95334031434,6907.05949026975,-1.9560319772163,0.0381004575219777,0,1,-49.2379610789903,-8.25,41.3490814670279,2.44504822343104,16.1895027718583,288,418.95,0.687432867883996,-0.687432867883996,6903.0,6894.0,-33,3,0,0,0,0,0,0
2026-02-16 09:38:00,6894.5,6894.75,6896.0,6894.25,-0.25,1.25,0.25,1.75,6894.75,6895.5,6894.0,-0.5,6895.25,6897.5,6894.25,-0.75,6896.25,6897.0,6894.0,2.0,6894.5,6898.0,6894.25,-3.25,6898.0,6899.75,6897.5,0.25,6896.78768585629,6900.11787795603,6903.58262108633,6906.93452021731,-1.91482558177267,0.0804803660184916,0,1,-49.7380808692506,-9.75,42.1311881225699,2.39540192175739,16.1412515004267,293,421.85,0.694559677610525,-0.694559677610525,6902.5,6894.0,-32,2,0,0,0,0,0,0
2026-02-16 09:39:00,6894.0,6894.5,6894.75,6893.0,-0.5,0.25,1.0,1.75,6894.5,6896.0,6894.25,-0.25,6894.75,6895.5,6894.0,-0.5,6895.25,6897.5,6894.25,-0.75,6896.25,6897.0,6894.0,2.0,6894.5,6898.0,6894.25,-3.25,6896.23014868503,6899.56170723275,6903.20683202412,6906.80581852361,-1.78186046541759,0.0143842928146114,0,1,-51.2232740944346,-9.0,43.1991328555554,2.34930178448901,16.0818997633978,405,415.25,0.975316074653823,-0.975316074653823,6901.75,6893.0,-31,4,0,0,0,0,0,0
2026-02-16 09:40:00,6894.5,6894.0,6895.0,6893.5,0.5,0.5,0.5,1.5,6894.0,6894.75,6893.0,-0.5,6894.5,6896.0,6894.25,-0.25,6894.75,6895.5,6894.0,-0.5,6895.25,6897.5,6894.25,-0.75,6896.25,6897.0,6894.0,2.0,6895.88411894802,6899.10155202977,6902.86538763102,6906.68337256815,-1.47548837233353,0.211507434250962,0,1,-48.7334902725997,-7.5,43.9535609859409,2.28863737131122,15.6636521922574,225,410.1,0.548646671543526,0.548646671543526,6901.25,6893.0,-27,6,0,0,0,0,0,0
